time,index,energy
  1.000000, 2, 393216.000604201
  2.000000, 2, 393216.000604201
  3.000000, 2, 393216.000604201
  4.000000, 2, 393216.000604201
  5.000000, 2, 393216.000604201
  6.000000, 2, 393216.000604201
  7.000000, 2, 393216.000604201
  8.000000, 2, 393216.000604201
  9.000000, 2, 393216.000604201
 10.000000, 2, 393216.000604201
 11.000000, 2, 393216.000604201
 12.000000, 2, 393216.166876952
 13.000000, 2, 393218.870028207
 14.000000, 2, 393203.864708586
 15.000000, 2, 393111.478227763
 16.000000, 2, 392861.032760821
 17.000000, 2, 392441.856650902
 18.000000, 2, 392144.609332623
 19.000000, 2, 391514.715343853
 20.000000, 2, 391238.867027968
 21.000000, 2, 390509.487629078
 22.000000, 2, 390091.072350016
 23.000000, 2, 389617.585307494
 24.000000, 2, 389183.354095812
 25.000000, 2, 388757.961024617
 26.000000, 2, 388230.086890711
 27.000000, 2, 387861.354001811
 28.000000, 2, 387662.495601235
 29.000000, 2, 387254.385436883
 30.000000, 2, 386927.056176704
 31.000000, 2, 386725.903572519
 32.000000, 2, 386419.506129155
 33.000000, 2, 386092.909598644
 34.000000, 2, 385869.612347164
 35.000000, 2, 385622.518773659
 36.000000, 2, 385411.952912107
 37.000000, 2, 385126.346707823
 38.000000, 2, 384897.749647231
 39.000000, 2, 384656.806021535
 40.000000, 2, 384364.878989359
 41.000000, 2, 384084.738940961
 42.000000, 2, 383880.821487147
 43.000000, 2, 383609.959886274
 44.000000, 2, 383371.193199176
 45.000000, 2, 383113.190986686
 46.000000, 2, 382871.787764253
 47.000000, 2, 382642.502199560
 48.000000, 2, 382427.368253230
 49.000000, 2, 382144.222275477
 50.000000, 2, 381873.485726150
 51.000000, 2, 381662.676713468
 52.000000, 2, 381439.513638264
 53.000000, 2, 381201.375198723
 54.000000, 2, 380965.939230561
 55.000000, 2, 380733.886216996
 56.000000, 2, 380452.646581578
 57.000000, 2, 380162.410142742
 58.000000, 2, 379941.152120335
 59.000000, 2, 379661.292362375
 60.000000, 2, 379458.781162761
 61.000000, 2, 379227.931068824
 62.000000, 2, 378947.697217984
 63.000000, 2, 378693.646606699
 64.000000, 2, 378430.341363454
 65.000000, 2, 378201.759118805
 66.000000, 2, 378015.205049527
 67.000000, 2, 377841.012532577
 68.000000, 2, 377560.950814581
 69.000000, 2, 377334.190750531
 70.000000, 2, 377090.770759036
 71.000000, 2, 376874.218993426
 72.000000, 2, 376660.129669559
 73.000000, 2, 376438.131509203
