time,index,energy
  1.000000, 3, 393215.992366974
  2.000000, 3, 393215.992366974
  3.000000, 3, 393215.992366974
  4.000000, 3, 393215.992366974
  5.000000, 3, 393215.992366974
  6.000000, 3, 393215.992366974
  7.000000, 3, 393215.992366974
  8.000000, 3, 393215.992366974
  9.000000, 3, 393215.992366974
 10.000000, 3, 393216.313334753
 11.000000, 3, 393135.517601107
 12.000000, 3, 393132.711160746
 13.000000, 3, 392890.951376215
 14.000000, 3, 392659.124304422
 15.000000, 3, 392339.459470393
 16.000000, 3, 391906.000030991
 17.000000, 3, 391410.746901768
 18.000000, 3, 390724.503515795
 19.000000, 3, 390396.509420694
 20.000000, 3, 390000.577757325
 21.000000, 3, 389691.353927288
 22.000000, 3, 389251.140631063
 23.000000, 3, 388949.078260528
 24.000000, 3, 388647.875067469
 25.000000, 3, 388387.196837446
 26.000000, 3, 388094.373023960
 27.000000, 3, 387832.276996494
 28.000000, 3, 387626.129190285
 29.000000, 3, 387387.638336409
 30.000000, 3, 387095.640319843
 31.000000, 3, 386852.782412247
 32.000000, 3, 386616.421481276
 33.000000, 3, 386245.851979641
 34.000000, 3, 385912.561380528
 35.000000, 3, 385570.360186968
 36.000000, 3, 385274.403871887
 37.000000, 3, 385020.311417929
 38.000000, 3, 384792.267451257
 39.000000, 3, 384424.131822142
 40.000000, 3, 384089.516043232
 41.000000, 3, 383822.842095587
 42.000000, 3, 383553.789661446
 43.000000, 3, 383268.238316418
 44.000000, 3, 383052.389047048
 45.000000, 3, 382713.042252788
 46.000000, 3, 382411.993259522
 47.000000, 3, 382133.174554485
 48.000000, 3, 381788.438879406
 49.000000, 3, 381421.964026304
 50.000000, 3, 381213.631311774
 51.000000, 3, 380941.924139106
 52.000000, 3, 380738.481868110
 53.000000, 3, 380492.023599432
 54.000000, 3, 380209.662067100
 55.000000, 3, 379983.158279327
 56.000000, 3, 379704.156827554
 57.000000, 3, 379459.119815459
 58.000000, 3, 379207.068618038
 59.000000, 3, 378907.951327380
 60.000000, 3, 378550.989553781
 61.000000, 3, 378223.019697750
 62.000000, 3, 377894.201485705
 63.000000, 3, 377625.297833102
 64.000000, 3, 377353.821147807
 65.000000, 3, 377112.979835217
 66.000000, 3, 376867.572243589
 67.000000, 3, 376610.134957182
 68.000000, 3, 376330.998893586
 69.000000, 3, 376106.416370484
 70.000000, 3, 375889.696282662
 71.000000, 3, 375653.328568424
 72.000000, 3, 375466.571283287
 73.000000, 3, 375198.264288796
 74.000000, 3, 374926.634112680
 75.000000, 3, 374701.980227038
 76.000000, 3, 374502.576708168
 77.000000, 3, 374229.166619812
 78.000000, 3, 373964.423892807
 79.000000, 3, 373668.947737081
 80.000000, 3, 373449.235806116
 81.000000, 3, 373178.684795655
 82.000000, 3, 372912.872882022
 83.000000, 3, 372677.252131822
 84.000000, 3, 372441.540904733
 85.000000, 3, 372189.980719157
 86.000000, 3, 372000.138442498
 87.000000, 3, 371788.270336995
 88.000000, 3, 371591.745600973
 89.000000, 3, 371360.219522890
 90.000000, 3, 371123.965849542
 91.000000, 3, 370888.633896363
 92.000000, 3, 370686.603254749
 93.000000, 3, 370442.452889914
 94.000000, 3, 370235.529734222
 95.000000, 3, 370017.186193252
 96.000000, 3, 369797.717998041
 97.000000, 3, 369607.403227890
 98.000000, 3, 369390.423660800
 99.000000, 3, 369158.373080824
100.000000, 3, 368963.813780374
101.000000, 3, 368740.124463741
102.000000, 3, 368538.722920992
103.000000, 3, 368347.221814527
104.000000, 3, 368126.485837332
105.000000, 3, 367892.095446519
106.000000, 3, 367701.721728726
107.000000, 3, 367502.354331201
108.000000, 3, 367305.184263829
109.000000, 3, 367092.612197676
110.000000, 3, 366906.851417586
111.000000, 3, 366720.807759068
112.000000, 3, 366505.222580521
113.000000, 3, 366321.589876597
114.000000, 3, 366122.868906871
115.000000, 3, 365935.172659303
116.000000, 3, 365741.719286493
117.000000, 3, 365540.774608556
118.000000, 3, 365348.731192430
119.000000, 3, 365164.195319937
120.000000, 3, 364948.219879526
121.000000, 3, 364747.583943838
122.000000, 3, 364545.443940256
123.000000, 3, 364347.426844159
124.000000, 3, 364149.877825072
125.000000, 3, 363944.382082840
126.000000, 3, 363752.900410078
127.000000, 3, 363560.373324750
128.000000, 3, 363376.630770591
129.000000, 3, 363182.201671033
130.000000, 3, 362988.120245218
131.000000, 3, 362794.610747396
132.000000, 3, 362614.021231877
133.000000, 3, 362426.568958821
134.000000, 3, 362248.777451927
135.000000, 3, 362057.146121450
136.000000, 3, 361866.275986663
137.000000, 3, 361691.911154740
138.000000, 3, 361494.964969331
139.000000, 3, 361302.316815033
140.000000, 3, 361108.826919525
141.000000, 3, 360918.239691727
142.000000, 3, 360737.954605805
143.000000, 3, 360554.345303968
144.000000, 3, 360358.657082279
145.000000, 3, 360183.860293373
146.000000, 3, 359994.200566149
147.000000, 3, 359799.986688122
148.000000, 3, 359618.780045236
149.000000, 3, 359434.831744866
150.000000, 3, 359244.977995834
151.000000, 3, 359064.043705868
152.000000, 3, 358892.757693194
153.000000, 3, 358709.659970487
154.000000, 3, 358538.264374202
155.000000, 3, 358358.153517796
156.000000, 3, 358175.492138013
157.000000, 3, 357994.792539044
158.000000, 3, 357804.972211020
159.000000, 3, 357626.247532469
160.000000, 3, 357448.747539176
161.000000, 3, 357265.445945535
162.000000, 3, 357097.301533096
163.000000, 3, 356930.365678825
164.000000, 3, 356758.902843322
165.000000, 3, 356587.351538657
166.000000, 3, 356421.495836943
167.000000, 3, 356252.810651430
168.000000, 3, 356077.227860778
